"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,1.11,0,1.2958,0
"2",1,1000,1.1,0.91,1.2962,0.7715
"3",2,1000,1.11,1.8,1.2967,1.5424
"4",4,1000,1.11,3.6,1.2975,3.0829
"5",8,1000,1.11,7.22,1.2991,6.1582
"6",16,1000,1.11,14.41,1.3023,12.2859
"7",32,1000,1.13,28.29,1.3088,24.4505
"8",64,1000,1.31,48.84,1.3217,48.4232
"9",128,1000,1.37,93.26,1.3475,94.9925
"10",256,1000,1.62,158.09,1.3989,182.9985
"11",512,1000,1.7,300.75,1.5013,341.0366
"12",1024,1000,1.86,549.34,1.7041,600.9177
"13",2048,1000,2.61,785.19,2.1013,974.6381
"14",4096,1000,3.35,1222.69,2.8629,1430.7416
"15",8192,1000,4.33,1889.88,4.2592,1923.3578
"16",16384,1000,6.13,2674.39,6.6097,2478.7793
"17",32768,1000,9.27,3534.32,9.8605,3323.1573
"18",65536,640,12.64,5186.7,12.6405,5184.6185
"19",131072,320,21.73,6031.18,16.5153,7936.4084
"20",262144,160,32.6,8042.1,28.2345,9284.5162
"21",524288,80,54.16,9680,54.1472,9682.6374
"22",1048576,40,96.76,10836.79,94.9327,11045.4722
"23",2097152,20,184.97,11337.69,180.6756,11607.2795
"24",4194304,10,352.88,11885.83,352.8885,11885.6361
