"","MAP","NProc","Total.Time","Jacobi.Time","Comm.Time","MLUPs","k","Latency.tusec","Bandwidth"
"1","core",1,22.065353357,21.719518465,0.345834891999999,78.3128179296,0,0,0
"2","core",4,5.585093307,5.476659025,0.103439988,309.394988417,4,0.2469,20845.5
"3","core",8,2.9511247765,2.8592075985,0.0863817729999998,585.538981588,6,0.2469,20845.5
"4","core",12,2.035440125,1.968143939,0.0650639549999998,848.955304785,6,0.2469,20845.5
"5","socket",4,5.5580869955,5.4428191835,0.101532483000001,310.898304348,4,0.6231,22748.6
"6","socket",8,2.831830274,2.743480734,0.0840095299999999,610.205766664,6,0.6231,22748.6
"7","socket",12,1.9356634795,1.857080026,0.05971997,892.715742691,6,0.6231,22748.6
"8","node",12,1.931729891,1.8554547345,0.0596347179999999,894.533829898,6,1.1328,11914.97
"9","node",24,1.0236275795,0.975747746,0.035632276,1688.10150156,6,1.1328,11914.97
"10","node",36,0.898570668,0.7570112965,0.042266122,1923.04356687,6,1.1328,11914.97
"11","node",48,0.690263867,0.648648632,0.033450412,2503.35131812,6,1.1328,11914.97
