# mpirun -mca pml ob1 --mca btl self,vader  -np 2 --map-by socket ./IMB-MPI1 PingPong -off_cache -1
"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.54,0,0.7809,0
"2",1,1000,0.57,1.76,0.7813,1.28
"3",2,1000,0.58,3.47,0.7817,2.5585
"4",4,1000,0.57,6.99,0.7825,5.1116
"5",8,1000,0.58,13.86,0.7842,10.2016
"6",16,1000,0.62,25.69,0.7875,20.3169
"7",32,1000,0.69,46.14,0.7942,40.2932
"8",64,1000,0.74,85.99,0.8075,79.2582
"9",128,1000,0.85,150.27,0.8341,153.464
"10",256,1000,1.17,219.66,0.8871,288.5795
"11",512,1000,1.13,451.29,0.9927,515.7734
"12",1024,1000,1.51,680.21,1.2019,851.9821
"13",2048,1000,1.97,1037.47,1.6124,1270.1597
"14",4096,1000,3.1,1320.43,2.4018,1705.4076
"15",8192,1000,3.75,2185.4,3.8585,2123.0935
"16",16384,1000,5.93,2761.04,6.3569,2577.3752
"17",32768,1000,9.35,3503.04,10.099,3244.6872
"18",65536,640,15.28,4289.76,15.279,4289.2871
"19",131072,320,27.79,4716.04,26.2288,4997.2491
"20",262144,160,52.79,4966.12,50.7178,5168.6834
"21",524288,80,102.84,5098.19,102.8402,5098.0853
"22",1048576,40,201.52,5203.45,202.4569,5179.2544
"23",2097152,20,396.98,5282.72,399.0146,5255.8273
"24",4194304,10,788.83,5317.15,788.8258,5317.1489
