# mpirun -mca pml ob1 --mca btl self,tcp  -np 2 --map-by core -off_cache -1
"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,5.19,0,5.5224,0
"2",1,1000,5.26,0.19,5.5227,0.1811
"3",2,1000,5.53,0.36,5.5231,0.3621
"4",4,1000,5.55,0.72,5.5238,0.7241
"5",8,1000,5.55,1.44,5.5252,1.4479
"6",16,1000,5.53,2.89,5.5281,2.8943
"7",32,1000,5.54,5.77,5.5339,5.7826
"8",64,1000,5.55,11.53,5.5454,11.5411
"9",128,1000,5.63,22.73,5.5684,22.9867
"10",256,1000,5.67,45.12,5.6146,45.5951
"11",512,1000,5.74,89.18,5.7074,89.7088
"12",1024,1000,6.28,163,5.8941,173.7327
"13",2048,1000,6.2,330.06,6.2729,326.4827
"14",4096,1000,7.28,563.01,7.0517,580.8533
"15",8192,1000,8.53,960.27,8.6943,942.2256
"16",16384,1000,12.31,1331.41,12.3065,1331.3251
"17",32768,1000,20.95,1564.03,20.6872,1583.9777
"18",65536,640,40.93,1601.08,40.9313,1601.1233
"19",131072,320,55.42,2364.91,76.9349,1703.6732
"20",262144,160,84.14,3115.65,112.3792,2332.6734
"21",524288,80,133.88,3916.05,133.8706,3916.3792
"22",1048576,40,228.43,4590.34,223.1788,4698.3665
"23",2097152,20,414.14,5063.9,408.9558,5128.0654
"24",4194304,10,792.18,5294.65,792.166,5294.7287
