# mpirun -mca pml ob1 --mca btl self,vader  -np 2 --map-by core ./IMB-MPI1 PingPong
"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.26,0,0.3693,0
"2",1,1000,0.29,3.49,0.3695,2.7063
"3",2,1000,0.29,6.96,0.3697,5.4092
"4",4,1000,0.28,14.17,0.3702,10.8053
"5",8,1000,0.28,28.53,0.3711,21.5583
"6",16,1000,0.31,52.06,0.3729,42.9089
"7",32,1000,0.3,106.12,0.3765,84.9994
"8",64,1000,0.33,191.85,0.3837,166.8184
"9",128,1000,0.38,336.72,0.398,321.6227
"10",256,1000,0.43,590.55,0.4265,600.1833
"11",512,1000,0.63,815.75,0.4833,1059.4215
"12",1024,1000,0.66,1553.64,0.5953,1720.1164
"13",2048,1000,0.86,2382.98,0.8133,2518.0973
"14",4096,1000,1.78,2306.89,1.2253,3342.7756
"15",8192,1000,2.12,3870.34,1.9576,4184.6179
"16",16384,1000,2.67,6138.4,3.1124,5264.1497
"17",32768,1000,3.94,8322.07,4.4729,7325.8335
"18",65536,640,5.32,12321.66,5.3207,12317.1428
"19",131072,320,10.75,12196.96,7.5639,17328.6148
"20",262144,160,19.18,13668.43,16.0786,16303.9377
"21",524288,80,39.3,13339.68,39.295,13342.348
"22",1048576,40,92.31,11359.16,88.0305,11911.5058
"23",2097152,20,220.55,9508.82,216.6074,9681.8101
"24",4194304,10,586.28,7154.11,586.2728,7154.1853
