# mpirun -mca pml ob1 --mca btl self,tcp  -np 2 --map-by socket ./IMB-MPI1 PingPong
"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","Mbytes.sec.comp.","t.usec.comp."
"1",0,1000,8.29,0,0,8.5221
"2",1,1000,8.3,0.12,0.1173,8.5225
"3",2,1000,8.37,0.24,0.2347,8.5229
"4",4,1000,8.32,0.48,0.4693,8.5237
"5",8,1000,8.35,0.96,0.9384,8.5253
"6",16,1000,8.35,1.92,1.8761,8.5285
"7",32,1000,8.33,3.84,3.7493,8.5349
"8",64,1000,8.35,7.67,7.4874,8.5477
"9",128,1000,8.71,14.69,14.9302,8.5732
"10",256,1000,8.7,29.41,29.6831,8.6244
"11",512,1000,8.75,58.51,58.6666,8.7273
"12",1024,1000,9.8,104.54,114.6102,8.9346
"13",2048,1000,9.34,219.35,218.9024,9.3558
"14",4096,1000,11.13,367.86,400.6241,10.224
"15",8192,1000,12,682.77,678.7066,12.07
"16",16384,1000,15.76,1039.38,1008.1162,16.2521
"17",32768,1000,26.41,1240.51,1224.7961,26.7538
"18",65536,640,57.32,1143.36,1143.2982,57.3219
"19",131072,320,80.36,1631,1109.3514,118.1519
"20",262144,160,122.38,2141.97,1511.5494,173.4273
"21",524288,80,195.07,2687.68,2687.9799,195.0491
"22",1048576,40,323.66,3239.78,3221.6831,325.4746
"23",2097152,20,614.65,3411.94,3463.6158,605.4806
"24",4194304,10,1201.61,3490.58,3490.4291,1201.6586
